nucleus, energy[keV], readout, event detection eff. =  fluorine 37 pad 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 39 pad 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 41 pad 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 43 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 45 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 47 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 49 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 1 wir 0.12999999523162842
nucleus, energy[keV], readout, event detection eff. =  fluorine 3 wir 0.9880000352859497
nucleus, energy[keV], readout, event detection eff. =  fluorine 5 wir 0.9950000047683716
nucleus, energy[keV], readout, event detection eff. =  fluorine 7 wir 0.9950000047683716
nucleus, energy[keV], readout, event detection eff. =  fluorine 9 wir 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 11 wir 0.9959999918937683
nucleus, energy[keV], readout, event detection eff. =  fluorine 13 wir 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 15 wir 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 17 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 19 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 21 wir 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 23 wir 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 25 wir 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 27 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 29 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 31 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 33 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 35 wir 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 37 wir 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 39 wir 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 41 wir 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 43 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 45 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 47 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 49 wir 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 1 gem 0.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 3 gem 0.00699999975040555
nucleus, energy[keV], readout, event detection eff. =  fluorine 5 gem 0.20499999821186066
nucleus, energy[keV], readout, event detection eff. =  fluorine 7 gem 0.4350000023841858
nucleus, energy[keV], readout, event detection eff. =  fluorine 9 gem 0.8759999871253967
nucleus, energy[keV], readout, event detection eff. =  fluorine 11 gem 0.9900000095367432
