nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 11 str_after_threshold 45.799716204485236 0.501
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 11 pix_after_threshold 34.06846426047498 0.508
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 11 3d_noquant_after_drift 33.54915321363663 0.537
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 11 3d_noquant_before_drift 21.811347887322853 0.85
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 12 gem_after_threshold 57.42920902407561 0.48597194388777554
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 12 wir_after_threshold 55.403952938688484 0.4934934934934935
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 12 pad_after_threshold 54.781741642423064 0.49498997995991983
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 12 opt_after_threshold 57.811760361062234 0.5310734463276836
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 12 str_after_threshold 49.81525178968055 0.5355355355355356
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 12 pix_after_threshold 44.09587749102847 0.5505505505505506
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 12 3d_noquant_after_drift 33.29716083025652 0.557
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 12 3d_noquant_before_drift 23.747795345452968 0.849
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 13 gem_after_threshold 57.004053167709024 0.5115115115115115
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 13 wir_after_threshold 53.492165809831235 0.476
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 13 pad_after_threshold 52.59703353262067 0.526
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 13 opt_after_threshold 56.3533497444622 0.47540983606557374
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 13 str_after_threshold 43.405043639765 0.535
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 13 pix_after_threshold 27.40144079006886 0.577
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 13 3d_noquant_after_drift 27.136105213167436 0.58
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 13 3d_noquant_before_drift 19.119687723612948 0.9
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 14 gem_after_threshold 57.89646032312326 0.494
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 14 wir_after_threshold 53.72747926466903 0.497
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 14 pad_after_threshold 52.10515073840414 0.498
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 14 opt_after_threshold 56.21540760898673 0.4801587301587302
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 14 str_after_threshold 41.0040848511932 0.541
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 14 pix_after_threshold 26.696417702544416 0.586
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 14 3d_noquant_after_drift 26.597339891629325 0.583
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 14 3d_noquant_before_drift 17.56189206460985 0.842
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 15 gem_after_threshold 57.128423860272044 0.5025025025025025
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 15 wir_after_threshold 53.28617277885314 0.523
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 15 pad_after_threshold 51.942701660693906 0.51
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 15 opt_after_threshold 57.6184243247928 0.48507462686567165
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 15 str_after_threshold 40.79026637902056 0.523
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 15 pix_after_threshold 26.345046860613415 0.572
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 15 3d_noquant_after_drift 25.96288606534734 0.586
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 15 3d_noquant_before_drift 18.132740653243836 0.95
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 16 gem_after_threshold 57.66167480691969 0.532
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 16 wir_after_threshold 53.36184084098908 0.478
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 16 pad_after_threshold 50.592272294899665 0.504
